image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
8226402877_9abf151b5b_b_jpg.rf.967094a091f4c9f8c55f7f959e3076ba,"[[0.53759765625, 0.8147877013177159, 0.1357421875, 0.23865300146412885], [0.47021484375, 0.2591508052708638, 0.1708984375, 0.1259150805270864], [0.87060546875, 0.2708638360175695, 0.1923828125, 0.24890190336749635], [0.3271484375, 0.4707174231332357, 0.228515625, 0.24158125915080528], [0.6630859375, 0.5161054172767203, 0.1484375, 0.2708638360175695]]","[11, 11, 11, 11, 11]","[25, 25, 25, 25, 25]","[[343.9004821777344, 320.6043701171875, 270.3663330078125, 194.32705688476562], [872.2371215820312, 200.32901000976562, 182.7396240234375, 168.2911376953125], [670.630126953125, 349.43280029296875, 154.84332275390625, 199.99789428710938], [487.8616943359375, 177.39300537109375, 191.64004516601562, 106.4660873413086], [44.05632400512695, 272.66705322265625, 88.00264739990234, 146.73104858398438], [750.0422973632812, 224.2491455078125, 74.8804931640625, 117.95939636230469], [71.9132308959961, 379.22015380859375, 143.8264617919922, 176.92941284179688], [693.3990478515625, 655.4415893554688, 125.22509765625, 51.9423828125], [40.15900802612305, 566.20751953125, 80.3180160522461, 211.884765625]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.9311258792877197, 0.9077706933021545, 0.8997862935066223, 0.8838052153587341, 0.8787287473678589, 0.8379549980163574, 0.7836562395095825, 0.6925705075263977, 0.6084856986999512]"
early_blight1-150x150_jpg.rf.293f2ff1ce08018c4702ea9860f42784,"[[0.5033333333333333, 0.49666666666666665, 0.9933333333333333, 0.9133333333333333]]",[11],[19],"[[75.0, 79.60955047607422, 150.0, 130.9159698486328]]",[11.0],[0.49786683917045593]
0796_39maizerust_jpg.rf.2540abaaecbb05db4076e9c84de164b0,"[[0.5150462962962963, 0.4738675958188153, 0.8449074074074074, 0.926829268292683]]",[4],[9],"[[220.1666259765625, 143.8078155517578, 362.4718017578125, 283.4184875488281]]",[4.0],[0.9439162015914917]
ed12ff77ce021883de241830dee55e2e53d2c93231699_1260x1260_jpg.rf.136bf8c36883c05575c0a52c6b179d4a,"[[0.5213068181818182, 0.4626984126984127, 0.5160984848484849, 0.8206349206349206]]",[3],[6],"[[554.4708862304688, 637.4767456054688, 592.9627685546875, 1129.0113525390625], [542.0275268554688, 648.3189697265625, 561.6953125, 1149.872314453125]]","[3.0, 0.0]","[0.5332658886909485, 0.34920603036880493]"
phytophthora-infestans-late-blight-or-potato-blight-on-the-haulm-of-E29H6G_jpg.rf.d53ff19435acfabd2725e0ef4fa84fb1,"[[0.4641618497109827, 0.5330935251798561, 0.9052023121387284, 0.38705035971223023], [0.5208092485549133, 0.25971223021582734, 0.6994219653179191, 0.2820143884892086]]","[6, 6]","[13, 13]","[[389.9371032714844, 740.3616943359375, 770.8941040039062, 521.0570068359375], [444.1863708496094, 360.53472900390625, 617.0846557617188, 399.0512390136719]]","[6.0, 6.0]","[0.9243037104606628, 0.5509845614433289]"
B2750109-Late_blight_on_a_potato_plant-SPL_jpg.rf.2ee7b2fe0b7703591b646332c6904cda,"[[0.3961038961038961, 0.495, 0.5324675324675324, 0.545]]",[6],[13],"[[212.32333374023438, 396.5034484863281, 291.78857421875, 434.20501708984375], [87.244384765625, 28.851898193359375, 170.49505615234375, 57.66852569580078]]","[6.0, 6.0]","[0.9073836207389832, 0.4111354649066925]"
03gb_jpg.rf.4e347da333ba6807058874f84b8cc336,"[[0.6743215031315241, 0.5231788079470199, 0.6137787056367432, 0.8874172185430463]]",[12],[29],"[[325.935302734375, 150.80714416503906, 305.12335205078125, 287.4713439941406]]",[12.0],[0.9608944058418274]
blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8_jpg.rf.66d56706ad97faf7316b3696b2fa9759,"[[0.5717948717948718, 0.2537037037037037, 0.764102564102564, 0.3333333333333333]]",[2],[5],"[[220.71099853515625, 141.0543670654297, 305.89044189453125, 189.6980743408203], [212.54698181152344, 399.3951416015625, 267.3805847167969, 200.32882690429688], [39.58293151855469, 395.296875, 79.06770324707031, 160.756103515625], [213.10159301757812, 399.0055847167969, 268.410888671875, 199.28997802734375]]","[2.0, 2.0, 2.0, 8.0]","[0.8613902926445007, 0.47284984588623047, 0.39929822087287903, 0.3079656958580017]"
07c_jpg.rf.54632cdfaa5d62e8e8245b1de760f613,"[[0.5118518518518519, 0.5567632850241546, 0.9111111111111111, 0.8478260869565217]]",[4],[8],"[[346.6531982421875, 227.56890869140625, 656.693603515625, 353.7242431640625]]",[4.0],[0.9300144910812378]
page_2_jpg.rf.4a450196bb164e1871d41c2617862a7b,"[[0.15625, 0.42118863049095606, 0.24791666666666667, 0.35658914728682173], [0.4010416666666667, 0.4140826873385013, 0.2, 0.32945736434108525]]","[11, 11]","[24, 24]","[[384.09027099609375, 321.5077209472656, 214.1961669921875, 255.8212432861328], [148.26620483398438, 327.99542236328125, 226.48219299316406, 275.8975524902344], [756.1561279296875, 402.5703430175781, 179.02313232421875, 433.05682373046875], [632.5875244140625, 520.9395751953125, 168.74481201171875, 396.64947509765625]]","[11.0, 11.0, 11.0, 11.0]","[0.926423966884613, 0.9209663271903992, 0.7128424644470215, 0.6006461977958679]"
Tom_Bact7_jpg.rf.723f1c9acfbdb1e36cc7276058b02f78,"[[0.21875, 0.6828358208955224, 0.1375, 0.23134328358208955], [0.45375, 0.7873134328358209, 0.3025, 0.40298507462686567], [0.6775, 0.5149253731343284, 0.48, 0.39552238805970147], [0.555, 0.34328358208955223, 0.38, 0.23880597014925373], [0.35, 0.2294776119402985, 0.38, 0.4216417910447761]]","[11, 11, 11, 11, 11]","[22, 22, 22, 22, 22]","[[180.3074951171875, 206.81478881835938, 117.06748962402344, 114.14091491699219], [138.7532958984375, 64.682373046875, 160.82598876953125, 114.40660858154297], [82.57149505615234, 180.10955810546875, 61.37418746948242, 70.24696350097656], [265.08514404296875, 129.11473083496094, 203.36947631835938, 138.70469665527344]]","[11.0, 11.0, 11.0, 6.0]","[0.9363237619400024, 0.9182479381561279, 0.9007838368415833, 0.758999764919281]"
Common-20Diseases-20Figure-201_JPG_jpg.rf.364ff33e1e45bf51c317f226596e3eb4,"[[0.5159574468085106, 0.501577287066246, 0.9042553191489362, 0.9968454258675079]]",[4],[8],"[[96.22380828857422, 158.32015991210938, 162.78065490722656, 313.1383056640625]]",[4.0],[0.9467962384223938]
corn-gray-leaf-spot-f4_jpg.rf.ee2aa03a854a277d3d3ad007ad47fe21,"[[0.4992559523809524, 0.5036057692307693, 0.8645833333333334, 0.9927884615384616]]",[4],[8],"[[332.4980773925781, 416.51275634765625, 563.2560424804688, 829.8203125]]",[4.0],[0.948863685131073]
tmv-tomato-9_jpg.rf.a0102dd156f245a07df0b1d0aea48698,"[[0.5001370614035088, 0.4824561403508772, 0.9695723684210527, 0.8450292397660819]]",[11],[24],"[[1821.19482421875, 1366.4495849609375, 3639.05517578125, 2244.148681640625], [1824.7496337890625, 1299.50439453125, 3644.993408203125, 2372.26171875]]","[11.0, 10.0]","[0.8691511750221252, 0.6546425223350525]"
rsz0803Figure6_jpg.rf.97afe9297dab5309880ddd9f4bf05c2f,"[[0.5014285714285714, 0.4391304347826087, 0.9914285714285714, 0.7913043478260869]]",[4],[7],"[[175.01412963867188, 104.0782470703125, 349.97174072265625, 201.4556884765625]]",[4.0],[0.8835135102272034]
20090710-lateblight_jpg.rf.f4b52d7b5173b423d692e6d17fd925d0,"[[0.52, 0.4835164835164835, 0.912, 0.9615384615384616]]",[6],[13],"[[257.3943786621094, 175.41444396972656, 466.56707763671875, 333.9792175292969]]",[11.0],[0.9222264885902405]
Tom_Bact3_jpg.rf.c113bb442a502b7e9fa794ce881d9e66,"[[0.25375, 0.5108695652173914, 0.2775, 0.9521739130434783]]",[11],[22],"[[105.67019653320312, 116.07351684570312, 117.90228271484375, 220.01171875]]",[11.0],[0.5315734148025513]
e33155_jpg.rf.92e8f62eb8d59383ea2e4beafeb3a282,"[[0.63, 0.32375, 0.74, 0.46]]",[1],[3],"[[166.39605712890625, 108.20154571533203, 159.70164489746094, 148.62513732910156], [442.1588134765625, 262.2915344238281, 573.16650390625, 383.6572265625], [69.4560317993164, 303.1759948730469, 138.9120635986328, 365.93133544921875], [703.8796997070312, 243.33827209472656, 192.2406005859375, 449.2576599121094], [337.0574951171875, 524.1419677734375, 280.392578125, 151.716064453125]]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9497207403182983, 0.945496141910553, 0.8919219374656677, 0.7531812787055969, 0.25633639097213745]"
20130802_111632_jpg.rf.aff37c1c310ec5ee7e0636b73ee4addb,"[[0.5125612745098039, 0.48508986928104575, 0.9748774509803921, 0.8933823529411765]]",[0],[2],"[[1652.642333984375, 1123.7918701171875, 3209.2255859375, 2235.619873046875]]",[0.0],[0.9213624596595764]
grape-leaf-picture-id119212425-k-6-m-119212425-s-612x612-w-0-h-8RZBWGcvXe4tAwhhvYZVFzWyRyiN5iTxKfWBpPT1FcU-_jpg.rf.ab68626cd9848226837cabbad5a85868,"[[0.49042553191489363, 0.4493464052287582, 0.9638297872340426, 0.869281045751634]]",[12],[28],"[[235.00189208984375, 244.1398468017578, 457.50616455078125, 464.3807067871094]]",[12.0],[0.9404019117355347]
image_jpg.rf.9ab2126543523239135c4a322c90f744,"[[0.6632653061224489, 0.48673469387755103, 0.673469387755102, 0.9530612244897959]]",[11],[23],"[[318.3106689453125, 245.45184326171875, 342.13995361328125, 486.6822509765625]]",[11.0],[0.9315756559371948]
prunsero_leaf1_jpg.rf.4c96ef8137ed4c52bb62a55d398cc9a6,"[[0.477, 0.6497672872340425, 0.886, 0.7004654255319149]]",[3],[6],"[[962.8662719726562, 1951.7435302734375, 1694.2030029296875, 2099.947021484375], [960.7039794921875, 1954.437255859375, 1711.290283203125, 2104.06689453125]]","[3.0, 0.0]","[0.5874704718589783, 0.5401697158813477]"
fwa2013313115151_jpg.rf.20aaa00fc0c8c2a4193844a2e8f02af5,"[[0.840625, 0.86875, 0.2, 0.1625], [0.653125, 0.6916666666666667, 0.06875, 0.15833333333333333], [0.590625, 0.6645833333333333, 0.0875, 0.1375], [0.38125, 0.28125, 0.21875, 0.1625], [0.425, 0.08958333333333333, 0.2125, 0.15416666666666667], [0.6625, 0.13333333333333333, 0.21875, 0.18333333333333332], [0.73125, 0.3875, 0.25, 0.175], [0.478125, 0.5333333333333333, 0.18125, 0.15833333333333333], [0.4015625, 0.45, 0.196875, 0.16666666666666666], [0.8, 0.6708333333333333, 0.19375, 0.2], [0.196875, 0.78125, 0.3875, 0.3375]]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[[135.74346923828125, 24.17485809326172, 69.48700714111328, 47.823577880859375], [271.5020751953125, 211.220947265625, 56.44981384277344, 34.295166015625], [228.3531036376953, 92.52892303466797, 55.536834716796875, 32.94664001464844], [252.46368408203125, 165.2145233154297, 62.07391357421875, 48.321563720703125], [207.31869506835938, 35.55181884765625, 66.2623291015625, 39.413330078125], [122.16492462158203, 104.55657958984375, 56.29887390136719, 38.279937744140625], [208.32888793945312, 165.08444213867188, 31.413055419921875, 49.053955078125], [141.65536499023438, 213.222900390625, 50.88697052001953, 51.7789306640625], [27.80852508544922, 213.9027099609375, 55.61705017089844, 52.19456481933594], [15.965279579162598, 113.38813781738281, 31.89356803894043, 100.47573852539062], [173.14059448242188, 88.84646606445312, 20.924652099609375, 39.00213623046875], [147.50003051757812, 130.2291259765625, 29.18505859375, 32.138336181640625], [279.6888732910156, 32.42182540893555, 80.450439453125, 63.81012725830078]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.8937509655952454, 0.8844289779663086, 0.8735204935073853, 0.8540290594100952, 0.8357021808624268, 0.7310445308685303, 0.5675104260444641, 0.5478947162628174, 0.4459701180458069, 0.4246375560760498, 0.42337721586227417, 0.33256563544273376, 0.2925744652748108]"
pepper-spot_jpg.rf.702f0249a271396f3d17c8ac9b0ab720,"[[0.5427350427350427, 0.48086124401913877, 0.9145299145299145, 0.8851674641148325]]",[1],[4],"[[176.3235321044922, 99.10045623779297, 349.3529357910156, 195.25282287597656], [176.2372283935547, 98.08454895019531, 349.3606872558594, 195.34130859375]]","[11.0, 1.0]","[0.6439270973205566, 0.5788924098014832]"
tomato_bacterial-speck_01_zoom_jpg.rf.c94d2edaae27c6d1aa2e353e5b25b136,"[[0.46, 0.47333333333333333, 0.8955555555555555, 0.8251851851851851]]",[11],[22],"[[417.20562744140625, 308.411865234375, 834.4112548828125, 547.7491455078125]]",[11.0],[0.9443436861038208]
0796_52srusttelia_jpg.rf.aedad78c844ccbb75c98c78c7fd497f8,"[[0.5011574074074074, 0.49029126213592233, 0.9976851851851852, 0.9029126213592233]]",[4],[9],"[[216.0, 151.27308654785156, 432.0, 284.8785705566406]]",[4.0],[0.9642635583877563]
